Designação;Evento;Data Recebimento;Data Execução;Banda;Número OS;Ocorrência;Observação
DFBL000022;pend. comercial;03/05/2016;11/05/2016;0;;;"11/05/2016 - Recebida a OS retificada e encaminhada para a engenharia.
03/05/2016 - Solicitado revisão de OS e VTA para atendimento do cliente a partir do pop MINICOM."
DFBL000022;pend. implantação;11/05/2016;12/05/2016;0;;;11/05/2016 - Recebida a OS retificada e encaminhada para a engenharia.
DFBL000022;pend. comercial;12/05/2016;24/05/2016;0;;;11/05/2016 - Solicitado revisão de OS e VTA para atendimento do cliente a partir do pop MINICOM.
DFBL000022;pend. implantação;12/04/2016;26/04/2016;0;0262/2016/DC/4600;16702;"19/04/2016 - Mirele está verificando disponibilidade de atendimento do cliente no POP TLB Sede (Devido à mudança de sede e remanejamento do POP)
12/04/2016 - Enviada OS e VTA para Engenharia"
DFBL000022;pend. cliente;24/05/2016;31/08/2016;0;0262/2016/DC/4600;;"23/08/2016 - Em renegociação com o comercial.
16/08/2016 - Aguardando PROA cliente desde 17/05.
26/07/2016 - Aguardando PROA cliente desde 17/05.
19/07/2016 - Aguardando PROA cliente desde 17/05.
11/07/2016 - Aguardando PROA cliente desde 17/05.
21/06/2016 - Aguardando PROA cliente desde 17/05.
07/06/2016 - Aguardando PROA cliente desde 17/05.
31/05/2016 - Aguardando PROA cliente desde 17/05.
24/05/2016 - Recebido OS retificada, solicitado PROA cliente."
GOBL000042;agendado;06/09/2016;00/00/0000;0;0556/2016/DC/4600;20201;"20/09/2016 - Em ativação, aguardando configuração do circuito com o cliente.
13/09/2016 - Em ativação, aguardando configuração do circuito com o cliente.
08/09/2016 - Cliente adiou ativação para 09/09/2016 as 13h
06/09/2016 - Ativação agendada para 08/09/2016 as 13h"
GOBL000042;pend. cliente;26/08/2016;05/09/2016;0;;;"30/08/2016 - Aguardando cliente concluir atividades em sua rede.
23/08/2016 - Aguardando cliente concluir atividades em sua rede."
GOBL000042;em ativação;05/09/2016;06/09/2016;0;0556/2016/DC/4600;20201;"06/09/2016 - Ativação agendada para 08/09/2016 as 13h
06/09/2016 - Configuração finalizada
05/09/2016 - Pedido de configuração realizado
05/09/2016 - Handover realizado."
GOBL000042;pend. implantação;24/06/2016;26/08/2016;0;0556/2016/DC/4600;20201;"16/08/2016 - Fusões e jumpers agendados para janela 11/08 - 18/08.
02/08/2016 - Fusões e jumpers agendados para janela 11/08 - 18/08.
11/07/2016 - Aguardando PROA desde 24/06.
24/06/2016 - Enviadas OS e VTA para Engenharia"
GOBL000044;pend. cliente;02/09/2016;00/00/0000;0;0623/2016/DC/4600;;"20/09/2016 - Aguardando retificações do PROA desde 02/09. Em agendamento de vistoria com o cliente.
12/09/2016 - Aguardando retificações do PROA desde 02/09. Em agendamento de vistoria com o cliente.
06/09/2016 - Aguardando retificações do PROA desde 02/09."
GOBL000044;pend. implantação;31/08/2016;02/09/2016;0;;;30/08/2016 - Em análise de PROA enviado pelo cliente desde 30/8.
GOBL000044;pend. implantação;29/07/2016;18/08/2016;0;0623/2016/DC/4600;21684;"02/08/2016 - Aguardando PROA desde 01/08.
29/07/2016 - Enviadas OS e VTA para Engenharia"
GOBL000044;pend. cliente;18/08/2016;31/08/2016;0;;;"23/08/2016 - Aguardando novo PROA do cliente desde 08/08.
16/08/2016 - Aguardando novo PROA do cliente desde 08/08."
DFAC000056;agendado;30/06/2016;04/07/2016;0;;;"04/07/2016 - Testes de banda realizados pelo cliente no dia 01/07 e notificação dos teste de banda enviada para GOM no dia 04/07. 
30/06/2016 - Ativação agendada para 30/06 as 15h"
DFAC000056;ativado;04/07/2016;04/07/2016;100;;;04/07/2016 - Testes de banda realizados pelo cliente no dia 01/07 e notificação dos teste de banda enviada para GOM no dia 04/07.
DFAC000056;pend. implantação;22/02/2016;11/04/2016;0;0132/2016/DC/4600;15119;"04/04/2016 - Previsto início de obra para 11/04, comercial enviou cronograma e solicitação de acesso para equipe ABIN em 04/04.
28/03/2016 - Previsto início para 29/03, conclusão até 06/04.
21/03/2016 - Máquina de MND do fornecedor com defeito, previsto início das obras para semana de 21/03, prazo de conclusão será fornecido ainda esta semana.
14/03/2016 - Vistoria realizada, previsto início da obra para semana do dia 14/03 conclusão até 31/03 (depende da disponibilidade da máquina de MND do fornecedor)
01/03 - Em agendamento de vistoria.
29/02 - Em geração de ID e PEP para vistoria e projeto
22/02/2016 - Enviadas OS e VTA para Engenharia"
DFAC000056;pend. comercial;11/04/2016;14/06/2016;0;;;"31/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
25/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
11/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
02/05/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
26/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso).
18/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso). 
11/04/2016 - Aguardando liberação de acesso pelo cliente para inicio das obras (comercial tratando o acesso)."
